Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	FBXW2	0.44	0.033860034	1.43E-01	15.27	NO	No_Regulation
challenge VS control	NEK6	0.1	0.661528868	8.31E-01	12.5	NO	No_Regulation
challenge VS control	BSPRY	0.21	0.38730539	6.33E-01	6.65	NO	No_Regulation
challenge VS control	PPP6C	-0.01	0.93071119	9.70E-01	21.68	NO	No_Regulation
challenge VS control	NDUFA8	0.4	0.038400533	1.56E-01	15.55	NO	No_Regulation
challenge VS control	HDHD3	-0.41	0.013323775	7.48E-02	31.21	NO	No_Regulation
challenge VS control	RBM18	0.24	0.26417992	5.12E-01	8.68	NO	No_Regulation
challenge VS control	HSDL2	-0.31	0.050784746	1.87E-01	57.55	NO	No_Regulation
challenge VS control	MAPKAP1	0.29	0.034988147	1.46E-01	70.22	NO	No_Regulation
challenge VS control	INVS	-0.15	0.236771728	4.82E-01	76.67	NO	No_Regulation
challenge VS control	GALNT12	-0.42	0.060606908	2.11E-01	18.58	NO	No_Regulation
challenge VS control	DENND1A	-0.17	0.177953867	4.08E-01	142.63	NO	No_Regulation
challenge VS control	ALG2	-0.21	0.395996447	6.41E-01	6.41	NO	No_Regulation
challenge VS control	KDSR	-0.43	0.007552537	5.04E-02	20.1	NO	No_Regulation
challenge VS control	VPS4B	-0.09	0.489346171	7.16E-01	53.62	NO	No_Regulation
challenge VS control	ONECUT2	-0.26	0.03024434	1.32E-01	154.13	NO	No_Regulation
challenge VS control	C19orf25	-0.1	0.591367846	7.88E-01	12.46	NO	No_Regulation
challenge VS control	YLPM1	0.12	0.328087786	5.78E-01	44.47	NO	No_Regulation
challenge VS control	FCF1	0.1	0.649303728	8.24E-01	8.85	NO	No_Regulation
challenge VS control	BBOF1	-0.28	0.280003437	5.29E-01	11.43	NO	No_Regulation
challenge VS control	NEK9	-0.05	0.790546702	9.01E-01	18.14	NO	No_Regulation
challenge VS control	ACYP1	0.54	0.023309656	1.11E-01	9.9	NO	No_Regulation
challenge VS control	C14orf179	-0.01	0.943724102	9.74E-01	43.31	NO	No_Regulation
challenge VS control	NPC2	-0.2	0.314153987	5.65E-01	12.91	NO	No_Regulation
challenge VS control	IRF2BPL	-0.36	0.185828208	4.18E-01	11.06	NO	No_Regulation
challenge VS control	ACOT2	-0.64	0.015964022	8.48E-02	5.08	NO	No_Regulation
challenge VS control	AREL1	0.04	0.849680764	9.30E-01	21.69	NO	No_Regulation
challenge VS control	MLH3	-0.09	0.603324106	7.96E-01	23.12	NO	No_Regulation
challenge VS control	TTLL5	-0.25	0.039409576	1.58E-01	59.41	NO	No_Regulation
challenge VS control	FLVCR2	-0.88	2.40E-06	1.07E-04	24.32	NO	No_Regulation
challenge VS control	ABCD4	-0.2	0.328300808	5.78E-01	13.85	NO	No_Regulation
challenge VS control	DLST	-0.28	0.146273239	3.64E-01	15.05	NO	No_Regulation
challenge VS control	C14orf156	0.41	0.011593635	6.76E-02	21.77	NO	No_Regulation
challenge VS control	RBM25	0.24	0.03245924	1.39E-01	153.24	NO	No_Regulation
challenge VS control	ALDH6A1	-0.43	0.02705245	1.22E-01	36.33	NO	No_Regulation
challenge VS control	NRDE2	-0.56	0.001387652	1.49E-02	18.83	NO	No_Regulation
challenge VS control	COQ6	-0.21	0.405628378	6.49E-01	5.38	NO	No_Regulation
challenge VS control	ZNF410	0.2	0.340864674	5.89E-01	14.75	NO	No_Regulation
challenge VS control	RHOQ	0.37	0.089217016	2.71E-01	18.65	NO	No_Regulation
challenge VS control	SUPT7L	-0.11	0.624402102	8.10E-01	8.66	NO	No_Regulation
challenge VS control	KLHL29	0.23	0.246722176	4.94E-01	16.81	NO	No_Regulation
challenge VS control	DNMT3A	-0.08	0.608358701	7.99E-01	32.71	NO	No_Regulation
challenge VS control	TMEM214	0.36	0.131784222	3.43E-01	6.65	NO	No_Regulation
challenge VS control	ATAD2B	-0.17	0.117863483	3.21E-01	81.28	NO	No_Regulation
challenge VS control	FKBP1B	-0.86	0.001116631	1.27E-02	7.18	NO	No_Regulation
challenge VS control	ATL2	-0.14	0.345959421	5.95E-01	40.89	NO	No_Regulation
challenge VS control	YPEL5	-0.36	0.123025515	3.30E-01	11.95	NO	No_Regulation
challenge VS control	FAM98A	0.1	0.691623689	8.49E-01	9.97	NO	No_Regulation
challenge VS control	YIPF4	-0.3	0.042093006	1.65E-01	35.11	NO	No_Regulation
challenge VS control	AFTPH	-0.08	0.496716791	7.22E-01	67.01	NO	No_Regulation
challenge VS control	LGALSL	-0.78	0.002357001	2.18E-02	7.3	NO	No_Regulation
challenge VS control	BCL11A	0.1	0.405637544	6.49E-01	92.18	NO	No_Regulation
challenge VS control	CRIPT	-0.06	0.81088321	9.12E-01	12.88	NO	No_Regulation
challenge VS control	EPCAM	-0.42	0.007298561	4.91E-02	277.67	NO	No_Regulation
challenge VS control	SLC17A5	-0.22	0.234372863	4.80E-01	18.6	NO	No_Regulation
challenge VS control	OGFRL1	0.45	0.09303941	2.78E-01	4.73	NO	No_Regulation
challenge VS control	SLF2	-0.06	0.729625135	8.71E-01	27.24	NO	No_Regulation
challenge VS control	IDE	0.3	0.082893173	2.60E-01	22.94	NO	No_Regulation
challenge VS control	IFIT3	0.09	0.64403191	8.22E-01	18.76	NO	No_Regulation
challenge VS control	IFIT2	-0.04	0.874662138	9.44E-01	6.62	NO	No_Regulation
challenge VS control	GPAM	-0.15	0.544831959	7.57E-01	8.07	NO	No_Regulation
challenge VS control	CUTC	-0.47	0.005707096	4.16E-02	40.26	NO	No_Regulation
challenge VS control	MXI1	-0.82	4.65E-06	1.80E-04	27.12	NO	No_Regulation
challenge VS control	SMNDC1	0.16	0.458398435	6.92E-01	9.81	NO	No_Regulation
challenge VS control	C10orf88	0.31	0.180044917	4.10E-01	8.8	NO	No_Regulation
challenge VS control	HELLS	0.36	0.046090015	1.75E-01	26.73	NO	No_Regulation
challenge VS control	TCTN3	-0.52	0.00814265	5.29E-02	16.73	NO	No_Regulation
challenge VS control	FAM45A	0.04	0.840749973	9.26E-01	17.6	NO	No_Regulation
challenge VS control	WDR11	0.32	0.043387355	1.68E-01	33.28	NO	No_Regulation
challenge VS control	C10orf76	-0.09	0.548556317	7.60E-01	43.37	NO	No_Regulation
challenge VS control	GOT1	0.11	0.431558936	6.70E-01	27.63	NO	No_Regulation
challenge VS control	SFRP5	-0.99	1.21E-04	2.22E-03	8.41	NO	No_Regulation
challenge VS control	GNA13	-0.28	0.090993283	2.74E-01	29.54	NO	No_Regulation
challenge VS control	KANSL1	-0.16	0.253372612	5.02E-01	137.05	NO	No_Regulation
challenge VS control	HOXB3	0.13	0.580051539	7.81E-01	10.94	NO	No_Regulation
challenge VS control	DUSP1	-0.52	0.044582243	1.71E-01	5.28	NO	No_Regulation
challenge VS control	PANK3	-0.71	5.96E-06	2.16E-04	80.33	NO	No_Regulation
challenge VS control	RCL1	0.39	0.069599201	2.31E-01	13.9	NO	No_Regulation
challenge VS control	CAAP1	0.1	0.536965667	7.51E-01	43.35	NO	No_Regulation
challenge VS control	MOB3B	-0.22	0.048782708	1.82E-01	181.46	NO	No_Regulation
challenge VS control	NUP43	0.07	0.759719686	8.85E-01	9.2	NO	No_Regulation
challenge VS control	MTHFD1L	0.56	0.005185238	3.90E-02	21.56	NO	No_Regulation
challenge VS control	LRP11	0.04	0.87543612	9.44E-01	6.45	NO	No_Regulation
challenge VS control	CCDC170	0.43	0.093701728	2.80E-01	5.31	NO	No_Regulation
challenge VS control	PCMT1	0.17	0.327259915	5.77E-01	21.39	NO	No_Regulation
challenge VS control	PLEKHG1	0.19	0.155558828	3.78E-01	78	NO	No_Regulation
challenge VS control	CYSTM1	-0.61	2.26E-06	1.04E-04	72.05	NO	No_Regulation
challenge VS control	WDR55	-0.03	0.901600556	9.56E-01	5.78	NO	No_Regulation
challenge VS control	MRPS14	0.26	0.230486507	4.75E-01	8.95	NO	No_Regulation
challenge VS control	SEC16B	-0.69	2.58E-05	6.67E-04	32.42	NO	No_Regulation
challenge VS control	GORAB	-0.01	0.982383395	9.92E-01	4.41	NO	No_Regulation
challenge VS control	ACAT2	0.59	0.016044006	8.50E-02	8.24	NO	No_Regulation
challenge VS control	TCP1	0.26	0.080144363	2.54E-01	25.1	NO	No_Regulation
challenge VS control	SNX19	-0.03	0.852649973	9.32E-01	22.15	NO	No_Regulation
challenge VS control	MSANTD2	0.25	0.16450238	3.90E-01	16.93	NO	No_Regulation
challenge VS control	SLC10A7	0.41	0.004494834	3.52E-02	44.38	NO	No_Regulation
challenge VS control	NUDCD1	0.46	0.025235358	1.16E-01	13.18	NO	No_Regulation
challenge VS control	ENY2	0.07	0.7200914	8.65E-01	18.31	NO	No_Regulation
challenge VS control	MASTL	0.16	0.517189356	7.36E-01	7.25	NO	No_Regulation
challenge VS control	KIAA1217	-0.13	0.246777366	4.94E-01	102.66	NO	No_Regulation
challenge VS control	PLXDC2	-0.06	0.631554319	8.15E-01	292.58	NO	No_Regulation
challenge VS control	EPC1	0.04	0.738282886	8.75E-01	63.64	NO	No_Regulation
challenge VS control	CCDC77	0.32	0.220444282	4.63E-01	4.88	NO	No_Regulation
challenge VS control	TAF12	-0.2	0.343175009	5.91E-01	12.5	NO	No_Regulation
challenge VS control	ENOX1	0.33	0.160545919	3.85E-01	14.61	NO	No_Regulation
challenge VS control	MTRF1	0.01	0.965847886	9.86E-01	8.05	NO	No_Regulation
challenge VS control	DNAJC15	0.14	0.364105206	6.12E-01	47.36	NO	No_Regulation
challenge VS control	PROSER1	-0.01	0.978648084	9.92E-01	9.65	NO	No_Regulation
challenge VS control	UFM1	0.08	0.579667383	7.81E-01	38.03	NO	No_Regulation
challenge VS control	WBP4	-0.47	0.004159063	3.33E-02	28.36	NO	No_Regulation
challenge VS control	ELF1	-0.27	0.00445705	3.50E-02	171.84	NO	No_Regulation
challenge VS control	SMAD9	0.07	0.762946617	8.87E-01	6.69	NO	No_Regulation
challenge VS control	HSPH1	0.47	0.003005387	2.61E-02	37.79	NO	No_Regulation
challenge VS control	KBTBD7	-0.33	0.158147871	3.81E-01	8.42	NO	No_Regulation
challenge VS control	ALG5	0.37	0.067734746	2.27E-01	19.24	NO	No_Regulation
challenge VS control	EXOSC8	0.67	0.005891592	4.24E-02	8.21	NO	No_Regulation
challenge VS control	ETF1	0.08	0.673881964	8.39E-01	24.26	NO	No_Regulation
challenge VS control	TGFBI	0.33	0.172024866	4.01E-01	9.39	NO	No_Regulation
challenge VS control	SIL1	0.3	0.039909618	1.60E-01	52.59	NO	No_Regulation
challenge VS control	PAIP2	-0.28	0.088172347	2.69E-01	26.9	NO	No_Regulation
challenge VS control	KDM3B	0.01	0.930444584	9.70E-01	47.78	NO	No_Regulation
challenge VS control	EGR1	0.14	0.618694292	8.07E-01	15.77	NO	No_Regulation
challenge VS control	SERP1	0.24	0.069569591	2.31E-01	53.33	NO	No_Regulation
challenge VS control	PLS1	-0.42	0.006334989	4.45E-02	202.2	NO	No_Regulation
challenge VS control	ZFP30	0.31	0.204253019	4.43E-01	5.58	NO	No_Regulation
challenge VS control	NR2C1	0.18	0.368958901	6.17E-01	18.93	NO	No_Regulation
challenge VS control	UTP20	0.5	0.014645527	8.01E-02	14.86	NO	No_Regulation
challenge VS control	TMPO	0.39	0.013286869	7.47E-02	42.99	NO	No_Regulation
challenge VS control	ARL1	-0.16	0.501937963	7.26E-01	14.21	NO	No_Regulation
challenge VS control	MTERFD3	0.18	0.47783887	7.07E-01	5.99	NO	No_Regulation
challenge VS control	NFYB	0.04	0.854616459	9.33E-01	7.35	NO	No_Regulation
challenge VS control	WASHC3	0.12	0.487395719	7.15E-01	20.82	NO	No_Regulation
challenge VS control	APAF1	0.3	0.16032885	3.85E-01	17.82	NO	No_Regulation
challenge VS control	CLU	0.3	0.179282857	4.09E-01	23	NO	No_Regulation
challenge VS control	TNFRSF10B	-0.12	0.570866176	7.76E-01	24.15	NO	No_Regulation
challenge VS control	SORBS3	-0.34	0.173624793	4.03E-01	5.3	NO	No_Regulation
challenge VS control	PTK2B	-0.27	0.052405594	1.91E-01	54.58	NO	No_Regulation
challenge VS control	ADRA1A	-0.36	0.146251122	3.64E-01	6.99	NO	No_Regulation
challenge VS control	PPP3CC	0	0.9812169	9.92E-01	31.1	NO	No_Regulation
challenge VS control	EPHX2	-0.46	0.006253303	4.41E-02	58.69	NO	No_Regulation
challenge VS control	RNF170	0.05	0.7830304	8.97E-01	14.49	NO	No_Regulation
challenge VS control	UBIAD1	-0.18	0.476344342	7.06E-01	4.74	NO	No_Regulation
challenge VS control	ZNF706	-0.39	0.009016176	5.69E-02	38.88	NO	No_Regulation
challenge VS control	LYPLA1	0.01	0.922720572	9.67E-01	47.07	NO	No_Regulation
challenge VS control	RDH10	0.06	0.753944241	8.83E-01	20.59	NO	No_Regulation
challenge VS control	AKAP1	-0.03	0.842647382	9.26E-01	47.11	NO	No_Regulation
challenge VS control	COIL	0	0.996950138	9.99E-01	8.5	NO	No_Regulation
challenge VS control	TRIM25	-0.16	0.290599457	5.40E-01	34.53	NO	No_Regulation
challenge VS control	SCPEP1	-0.08	0.743071564	8.77E-01	9.84	NO	No_Regulation
challenge VS control	SPOP	-0.02	0.863149425	9.37E-01	45.52	NO	No_Regulation
challenge VS control	TBX2	0.33	0.200679691	4.38E-01	5.3	NO	No_Regulation
challenge VS control	SLC35B1	-0.19	0.304476627	5.54E-01	17.66	NO	No_Regulation
challenge VS control	FAM117A	-0.17	0.505630292	7.29E-01	8.41	NO	No_Regulation
challenge VS control	NCAPH	1.19	5.55E-06	2.07E-04	5.92	YES	Up-Regulated in Sample Group
challenge VS control	LRAT	-0.64	0.009661088	5.95E-02	6.49	NO	No_Regulation
challenge VS control	KIAA0922	0.38	0.078951955	2.51E-01	26.12	NO	No_Regulation
challenge VS control	MND1	0.81	0.002304066	2.14E-02	6.43	NO	No_Regulation
challenge VS control	PAPD5	-0.45	2.21E-04	3.59E-03	65.94	NO	No_Regulation
challenge VS control	ADCY7	0.44	0.102911815	2.95E-01	5.9	NO	No_Regulation
challenge VS control	CEP89	0.17	0.401210409	6.45E-01	9.91	NO	No_Regulation
challenge VS control	TSHZ3	0.55	0.015603955	8.38E-02	11.65	NO	No_Regulation
challenge VS control	ECHDC2	-0.67	5.28E-08	4.63E-06	59.85	NO	No_Regulation
challenge VS control	PLBD1	0	0.981210271	9.92E-01	12.93	NO	No_Regulation
challenge VS control	PYROXD1	-0.25	0.14139682	3.58E-01	26.72	NO	No_Regulation
challenge VS control	BCL2L14	-0.01	0.929149798	9.69E-01	48.77	NO	No_Regulation
challenge VS control	PSPC1	0.15	0.268545287	5.16E-01	50.53	NO	No_Regulation
challenge VS control	PDZRN3	0.33	0.035953283	1.49E-01	80.16	NO	No_Regulation
challenge VS control	RNF2	0.1	0.612311188	8.03E-01	13.43	NO	No_Regulation
challenge VS control	TRMT1L	-0.22	0.178078956	4.08E-01	19.67	NO	No_Regulation
challenge VS control	SEC22A	-0.02	0.908972815	9.60E-01	47.59	NO	No_Regulation
challenge VS control	B4GALT4	-0.17	0.325451295	5.75E-01	22.92	NO	No_Regulation
challenge VS control	NAA50	-0.04	0.779411621	8.95E-01	41.05	NO	No_Regulation
challenge VS control	KIF18A	1.14	4.20E-06	1.68E-04	9.37	YES	Up-Regulated in Sample Group
challenge VS control	DESI2	-0.08	0.660964079	8.31E-01	20.5	NO	No_Regulation
challenge VS control	CRY2	-0.26	0.282577723	5.31E-01	11.72	NO	No_Regulation
challenge VS control	PEX16	-0.11	0.667737397	8.35E-01	4.85	NO	No_Regulation
challenge VS control	DEPDC7	-0.54	0.021219426	1.04E-01	11.06	NO	No_Regulation
challenge VS control	CAT	-0.42	0.001537767	1.60E-02	107.35	NO	No_Regulation
challenge VS control	PILRB	0.11	0.539252284	7.52E-01	15.83	NO	No_Regulation
challenge VS control	ZMYM2	-0.18	0.067342073	2.26E-01	94.13	NO	No_Regulation
challenge VS control	TBC1D15	-0.33	0.044703083	1.71E-01	30.7	NO	No_Regulation
challenge VS control	ZCCHC17	0.28	0.146824917	3.66E-01	16.21	NO	No_Regulation
challenge VS control	KHDRBS1	0.1	0.367317019	6.15E-01	88.19	NO	No_Regulation
challenge VS control	POLR3GL	0.35	0.11228543	3.11E-01	12.09	NO	No_Regulation
challenge VS control	TNFSF10	-0.04	0.810519211	9.12E-01	83.27	NO	No_Regulation
challenge VS control	ZNF639	-0.04	0.852875944	9.32E-01	6.54	NO	No_Regulation
challenge VS control	PIK3CA	-0.16	0.210943472	4.51E-01	50.38	NO	No_Regulation
challenge VS control	PDS5A	0.09	0.471540728	7.01E-01	72.92	NO	No_Regulation
challenge VS control	TMEM156	0.38	0.136098446	3.50E-01	7.99	NO	No_Regulation
challenge VS control	LIAS	-0.22	0.280118967	5.29E-01	13.31	NO	No_Regulation
challenge VS control	CPXM2	0.39	0.15147092	3.72E-01	5.65	NO	No_Regulation
challenge VS control	TMEM54	-0.18	0.36539884	6.13E-01	17.83	NO	No_Regulation
challenge VS control	CSMD2	-0.33	0.229764287	4.74E-01	8.2	NO	No_Regulation
challenge VS control	LRIF1	-0.05	0.785647094	8.98E-01	12.62	NO	No_Regulation
challenge VS control	CLCC1	0.51	0.0126095	7.18E-02	14.85	NO	No_Regulation
challenge VS control	GPSM2	0.36	0.07505025	2.42E-01	18.61	NO	No_Regulation
challenge VS control	GTDC1	0.23	0.105349281	3.00E-01	40.97	NO	No_Regulation
challenge VS control	ZRANB3	0.76	1.77E-05	4.96E-04	28.19	NO	No_Regulation
challenge VS control	ACVR2A	-0.45	0.004055452	3.27E-02	62.46	NO	No_Regulation
challenge VS control	POLK	-0.02	0.883062177	9.48E-01	43.08	NO	No_Regulation
challenge VS control	RPL21	0.15	0.273331823	5.22E-01	107.93	NO	No_Regulation
challenge VS control	MTIF3	-0.24	0.094465391	2.81E-01	35.82	NO	No_Regulation
challenge VS control	GTF3A	0.24	0.220464063	4.63E-01	19	NO	No_Regulation
challenge VS control	UBL3	-0.44	7.90E-04	9.53E-03	69.35	NO	No_Regulation
challenge VS control	FYTTD1	-0.08	0.674727878	8.39E-01	18.99	NO	No_Regulation
challenge VS control	MTERF4	-0.25	0.188157973	4.21E-01	18.12	NO	No_Regulation
challenge VS control	XPNPEP2	-0.75	0.001902293	1.85E-02	25.47	NO	No_Regulation
challenge VS control	OCRL	-0.23	0.252365179	5.01E-01	13.57	NO	No_Regulation
challenge VS control	MRPS2	0.26	0.281690188	5.30E-01	5.45	NO	No_Regulation
challenge VS control	FMOD	-0.2	0.442930777	6.81E-01	5.85	NO	No_Regulation
challenge VS control	KIAA1191	-0.34	0.117112078	3.19E-01	12.4	NO	No_Regulation
challenge VS control	COPA	-0.05	0.619328484	8.08E-01	76.08	NO	No_Regulation
challenge VS control	LY9	0.44	0.086382075	2.66E-01	5.61	NO	No_Regulation
challenge VS control	RBBP6	0.12	0.36818236	6.16E-01	62.37	NO	No_Regulation
challenge VS control	ZC3H7A	0.08	0.555013342	7.65E-01	40.41	NO	No_Regulation
challenge VS control	SERAC1	-0.01	0.974904333	9.90E-01	5.19	NO	No_Regulation
challenge VS control	ANXA11	-0.5	2.22E-04	3.60E-03	53.53	NO	No_Regulation
challenge VS control	FAM35A	0.01	0.927314676	9.69E-01	53.49	NO	No_Regulation
challenge VS control	FAM213A	-0.71	2.70E-05	6.91E-04	43.7	NO	No_Regulation
challenge VS control	RPL5	0.36	0.001352489	1.46E-02	142.54	NO	No_Regulation
challenge VS control	ODF2L	0.16	0.318637156	5.69E-01	32.5	NO	No_Regulation
challenge VS control	SPATA1	-0.43	0.088160469	2.69E-01	5.48	NO	No_Regulation
challenge VS control	TRMT13	-0.03	0.875592463	9.44E-01	19.81	NO	No_Regulation
challenge VS control	RWDD3	-0.02	0.914899048	9.63E-01	18.71	NO	No_Regulation
challenge VS control	ZNF644	0.27	0.027744706	1.24E-01	68.69	NO	No_Regulation
challenge VS control	CCDC18	0.54	9.45E-04	1.11E-02	28.69	NO	No_Regulation
challenge VS control	RPAP2	0.03	0.825505	9.20E-01	46.76	NO	No_Regulation
challenge VS control	PQLC1	-0.3	0.200882516	4.38E-01	7.56	NO	No_Regulation
challenge VS control	BBS9	0.09	0.60023579	7.93E-01	29.7	NO	No_Regulation
challenge VS control	PMS2	-0.03	0.909391005	9.61E-01	6.03	NO	No_Regulation
challenge VS control	ZMIZ2	0.19	0.347078836	5.96E-01	12.58	NO	No_Regulation
challenge VS control	SEPT7	-0.06	0.627807157	8.12E-01	82.64	NO	No_Regulation
challenge VS control	EEPD1	-1.02	2.92E-09	4.26E-07	62.46	YES	Down-Regulated in Sample Group
challenge VS control	KLHL7	-0.2	0.269109654	5.17E-01	18.5	NO	No_Regulation
challenge VS control	HERPUD2	-0.03	0.867549261	9.39E-01	25.3	NO	No_Regulation
challenge VS control	CBX3	0.33	0.01217456	6.99E-02	61.4	NO	No_Regulation
challenge VS control	HNRNPA2B1	0.36	0.001649898	1.68E-02	195.47	NO	No_Regulation
challenge VS control	WIPF3	-0.6	0.010194283	6.17E-02	14.66	NO	No_Regulation
challenge VS control	FAM126A	0.16	0.34163369	5.90E-01	35.61	NO	No_Regulation
challenge VS control	FKBP9	-0.35	0.130761464	3.42E-01	8.47	NO	No_Regulation
challenge VS control	NT5C3A	0.13	0.329091633	5.78E-01	48.34	NO	No_Regulation
challenge VS control	ARL4A	0.04	0.84498613	9.28E-01	12.91	NO	No_Regulation
challenge VS control	CCZ1	-0.36	0.122027059	3.28E-01	14.16	NO	No_Regulation
challenge VS control	POLM	-0.63	0.012363035	7.08E-02	5.59	NO	No_Regulation
challenge VS control	FTSJ2	0.56	0.02666533	1.21E-01	5.62	NO	No_Regulation
challenge VS control	SMU1	-0.24	0.229146635	4.73E-01	27.4	NO	No_Regulation
challenge VS control	GLIPR2	0.39	0.104756531	2.99E-01	6.53	NO	No_Regulation
challenge VS control	SLC25A51	-0.45	0.01636331	8.61E-02	25.74	NO	No_Regulation
challenge VS control	CLTA	-0.01	0.927708362	9.69E-01	37.35	NO	No_Regulation
challenge VS control	RECK	0.26	0.302948215	5.53E-01	6.41	NO	No_Regulation
challenge VS control	SPINK4	1.1	4.95E-05	1.11E-03	17.12	YES	Up-Regulated in Sample Group
challenge VS control	ACO1	-0.08	0.585813437	7.85E-01	46.4	NO	No_Regulation
challenge VS control	DCAF10	0.21	0.082876529	2.60E-01	64.23	NO	No_Regulation
challenge VS control	KIAA1549	0.3	0.206403876	4.45E-01	9.33	NO	No_Regulation
challenge VS control	TRIM24	0	0.977744538	9.91E-01	43.34	NO	No_Regulation
challenge VS control	C7orf49	0.06	0.798473653	9.06E-01	11.26	NO	No_Regulation
challenge VS control	CALD1	0	0.993337215	9.97E-01	91.05	NO	No_Regulation
challenge VS control	SRGN	0.4	0.075401748	2.43E-01	22.53	NO	No_Regulation
challenge VS control	BICC1	0.37	0.068500804	2.28E-01	27.85	NO	No_Regulation
challenge VS control	CISD1	-0.33	0.009073681	5.72E-02	60.6	NO	No_Regulation
challenge VS control	ECD	0.03	0.882054345	9.47E-01	14.34	NO	No_Regulation
challenge VS control	P4HA1	0.02	0.909611726	9.61E-01	17.9	NO	No_Regulation
challenge VS control	SLC25A16	-0.49	0.003520254	2.94E-02	25.84	NO	No_Regulation
challenge VS control	VPS26A	-0.12	0.438523131	6.76E-01	32.07	NO	No_Regulation
challenge VS control	RBM19	0.74	3.49E-04	5.21E-03	15.19	NO	No_Regulation
challenge VS control	CIT	0.49	0.025312253	1.16E-01	14.52	NO	No_Regulation
challenge VS control	IFT81	0.45	0.091954414	2.76E-01	4.75	NO	No_Regulation
challenge VS control	ACADS	-0.37	0.030681225	1.33E-01	25.21	NO	No_Regulation
challenge VS control	DDX54	0.18	0.418306408	6.59E-01	11.51	NO	No_Regulation
challenge VS control	MED13L	-0.16	0.074364147	2.41E-01	240.7	NO	No_Regulation
challenge VS control	RNF11	-0.29	0.055563723	1.99E-01	28.89	NO	No_Regulation
challenge VS control	RASSF8	0.13	0.606617962	7.98E-01	8.19	NO	No_Regulation
challenge VS control	SSPN	0.76	0.00208882	1.99E-02	8.04	NO	No_Regulation
challenge VS control	ITPR2	-0.36	5.13E-04	6.95E-03	214.98	NO	No_Regulation
challenge VS control	CCDC91	-0.09	0.413019109	6.54E-01	116.12	NO	No_Regulation
challenge VS control	WWP1	0.04	0.743044087	8.77E-01	102.48	NO	No_Regulation
challenge VS control	ACOT9	-0.2	0.388386543	6.33E-01	6.29	NO	No_Regulation
challenge VS control	PRDX4	0.39	0.095179972	2.82E-01	13.16	NO	No_Regulation
challenge VS control	DDX39A	0.35	0.118757959	3.23E-01	7.94	NO	No_Regulation
challenge VS control	PKN1	0.03	0.888928281	9.51E-01	6.52	NO	No_Regulation
challenge VS control	C19orf43	0.12	0.491051084	7.17E-01	24.88	NO	No_Regulation
challenge VS control	ADGRE5	0.43	0.026241554	1.19E-01	19.56	NO	No_Regulation
challenge VS control	GIPC1	-0.07	0.763421492	8.87E-01	9.31	NO	No_Regulation
challenge VS control	SPRYD7	-0.14	0.549359367	7.61E-01	8.26	NO	No_Regulation
challenge VS control	EBPL	0.37	0.1407193	3.58E-01	10.3	NO	No_Regulation
challenge VS control	ATP7B	-0.77	5.07E-05	1.13E-03	29.3	NO	No_Regulation
challenge VS control	ZC3H13	0.1	0.403531556	6.47E-01	71.66	NO	No_Regulation
challenge VS control	NLN	-0.2	0.439675247	6.78E-01	5.6	NO	No_Regulation
challenge VS control	CENPK	0.78	9.03E-05	1.78E-03	17.79	NO	No_Regulation
challenge VS control	OPTN	-0.37	0.008741768	5.56E-02	46.86	NO	No_Regulation
challenge VS control	ITIH5	-0.24	0.259413602	5.07E-01	15.48	NO	No_Regulation
challenge VS control	ATF1	-0.12	0.527137236	7.44E-01	22.74	NO	No_Regulation
challenge VS control	TSFM	0.63	0.011684333	6.79E-02	5.34	NO	No_Regulation
challenge VS control	NCKAP1L	0.34	0.124655873	3.32E-01	9.96	NO	No_Regulation
challenge VS control	PFDN5	-0.12	0.511604515	7.32E-01	30.84	NO	No_Regulation
challenge VS control	SPATS2	0.18	0.264437346	5.12E-01	50.67	NO	No_Regulation
challenge VS control	ORMDL2	0.2	0.457567146	6.92E-01	7.35	NO	No_Regulation
challenge VS control	LRP1	-0.53	0.003598443	2.99E-02	40.88	NO	No_Regulation
challenge VS control	IKZF4	-0.15	0.560624419	7.69E-01	4.62	NO	No_Regulation
challenge VS control	SMUG1	-0.3	0.255046157	5.04E-01	7.1	NO	No_Regulation
challenge VS control	TUBA1B	1.03	3.28E-11	1.34E-08	66.68	YES	Up-Regulated in Sample Group
challenge VS control	ATPAF1	0.11	0.551387849	7.63E-01	16	NO	No_Regulation
challenge VS control	STIL	0.46	0.066153899	2.24E-01	7.37	NO	No_Regulation
challenge VS control	AMD1	0.53	0.006446361	4.49E-02	24.5	NO	No_Regulation
challenge VS control	NDUFAF4	-0.07	0.789818465	9.01E-01	8.44	NO	No_Regulation
challenge VS control	USP45	0.17	0.295616474	5.46E-01	26.27	NO	No_Regulation
challenge VS control	MORF4L2	0.34	0.017281935	8.92E-02	47.56	NO	No_Regulation
challenge VS control	FAM199X	0.19	0.282167744	5.31E-01	15.84	NO	No_Regulation
challenge VS control	RAB9A	-0.27	0.208503651	4.48E-01	11.17	NO	No_Regulation
challenge VS control	METTL8	0.02	0.919781615	9.65E-01	16.16	NO	No_Regulation
challenge VS control	TTC21B	-0.04	0.849533076	9.30E-01	21.82	NO	No_Regulation
challenge VS control	NMI	0.37	0.041575189	1.64E-01	21.22	NO	No_Regulation
challenge VS control	ACVR1C	-0.35	0.066870795	2.25E-01	21.13	NO	No_Regulation
