Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	EAF1	0.03	0.886207944	9.49E-01	8.16	NO	No_Regulation
challenge VS control	CNTN4	0.28	0.14707619	3.66E-01	26.51	NO	No_Regulation
challenge VS control	DYNC1LI1	-0.14	0.419547989	6.60E-01	19.77	NO	No_Regulation
challenge VS control	RBMS3	0.14	0.341659632	5.90E-01	125.54	NO	No_Regulation
challenge VS control	OSBPL10	0.35	0.052513109	1.91E-01	43.02	NO	No_Regulation
challenge VS control	SLC25A38	-0.03	0.913002664	9.62E-01	5.5	NO	No_Regulation
challenge VS control	ITGA9	-0.3	0.09172355	2.76E-01	30.28	NO	No_Regulation
challenge VS control	GOLGA4	-0.27	0.001027214	1.19E-02	394.31	NO	No_Regulation
challenge VS control	CTDSPL	-0.02	0.911687711	9.61E-01	52.62	NO	No_Regulation
challenge VS control	IQSEC1	0.31	0.128840631	3.39E-01	11.57	NO	No_Regulation
challenge VS control	RPL32	0.18	0.291943194	5.41E-01	96.94	NO	No_Regulation
challenge VS control	PTPRG	0.31	0.012610772	7.18E-02	117.12	NO	No_Regulation
challenge VS control	SHQ1	0.35	0.090310507	2.73E-01	13.89	NO	No_Regulation
challenge VS control	SLC25A26	0.21	0.283633697	5.32E-01	23.39	NO	No_Regulation
challenge VS control	UBA3	0.13	0.372162541	6.20E-01	29.94	NO	No_Regulation
challenge VS control	ARL6IP5	0.29	0.049458422	1.84E-01	51.07	NO	No_Regulation
challenge VS control	TMF1	-0.06	0.646988457	8.23E-01	58.38	NO	No_Regulation
challenge VS control	LRIG1	0.28	0.116765025	3.19E-01	35.8	NO	No_Regulation
challenge VS control	RP11-977G19.10	0.39	0.008522461	5.46E-02	31.47	NO	No_Regulation
challenge VS control	LIMD1	0.16	0.414447067	6.56E-01	21.23	NO	No_Regulation
challenge VS control	NFKBIZ	-0.01	0.932951736	9.71E-01	66.91	NO	No_Regulation
challenge VS control	NXPE3	0.84	0.0016189	1.66E-02	5.19	NO	No_Regulation
challenge VS control	ADGRG7	-0.14	0.418351236	6.59E-01	103.77	NO	No_Regulation
challenge VS control	PHLDB2	0.17	0.388549876	6.33E-01	30.63	NO	No_Regulation
challenge VS control	ABHD10	0.34	0.142575635	3.60E-01	8.36	NO	No_Regulation
challenge VS control	RABL3	-0.24	0.183531458	4.15E-01	14.69	NO	No_Regulation
challenge VS control	IGSF11	-0.36	0.19516648	4.31E-01	4.63	NO	No_Regulation
challenge VS control	ATG3	0.23	0.228210872	4.72E-01	19.81	NO	No_Regulation
challenge VS control	NR1I2	-0.61	1.51E-04	2.66E-03	29.01	NO	No_Regulation
challenge VS control	BOC	0.51	0.051086187	1.87E-01	5.53	NO	No_Regulation
challenge VS control	SRPRB	0.5	0.019753662	9.81E-02	17.33	NO	No_Regulation
challenge VS control	MED12L	-0.49	0.02324139	1.11E-01	19.12	NO	No_Regulation
challenge VS control	EIF2A	0.27	0.085175447	2.64E-01	33.75	NO	No_Regulation
challenge VS control	OSBPL11	-0.21	0.198855949	4.36E-01	20.26	NO	No_Regulation
challenge VS control	TRPC1	0.07	0.763710365	8.88E-01	7.86	NO	No_Regulation
challenge VS control	NCEH1	0.06	0.755189111	8.83E-01	15.73	NO	No_Regulation
challenge VS control	LPP	-0.05	0.555975119	7.66E-01	539.84	NO	No_Regulation
challenge VS control	RUBCN	0.27	0.115120326	3.16E-01	18.85	NO	No_Regulation
challenge VS control	AMT	0.09	0.730276034	8.71E-01	5.6	NO	No_Regulation
challenge VS control	TCTA	-0.39	0.13214913	3.44E-01	5.18	NO	No_Regulation
challenge VS control	VPRBP	-0.16	0.428744608	6.67E-01	21.2	NO	No_Regulation
challenge VS control	MANF	0.42	0.022909472	1.09E-01	22.51	NO	No_Regulation
challenge VS control	STXBP5L	0.01	0.949544895	9.77E-01	13.3	NO	No_Regulation
challenge VS control	EAF2	0.96	6.27E-07	3.71E-05	38.08	NO	No_Regulation
challenge VS control	ILDR1	0.49	0.067529947	2.27E-01	5	NO	No_Regulation
challenge VS control	SLIT2	0.73	2.30E-04	3.70E-03	57.11	NO	No_Regulation
challenge VS control	EIF2B5	0.25	0.30719247	5.57E-01	9.13	NO	No_Regulation
challenge VS control	DGKQ	-0.26	0.278431598	5.27E-01	7.84	NO	No_Regulation
challenge VS control	LYAR	0.5	0.051805497	1.89E-01	6.13	NO	No_Regulation
